25
12
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,0,b,4,
6,0,0,0,0,0,0,0,b,0,c,c,0,0,0,0,0,b,0,0,0,0,0,c,4,
6,0,0,0,0,0,0,0,0,0,c,c,0,0,0,0,c,c,0,0,c,c,0,c,4,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,1,7,8,
6,0,0,0,0,0,c,c,0,0,c,c,0,0,0,0,0,0,b,0,b,1,8,5,5,
6,0,0,0,0,0,14,16,0,0,14,16,0,0,0,0,0,0,0,0,1,8,5,5,5,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,c,1,8,5,5,5,5,
6,0,14,16,0,0,0,0,0,0,0,c,c,0,0,0,1,2,2,8,5,5,5,5,5,
6,0,0,0,0,0,0,c,c,0,0,0,0,0,0,1,8,5,5,5,5,5,5,5,5,
6,0,0,0,0,0,1,2,3,0,c,c,c,0,1,8,5,5,5,5,5,5,5,5,5,
10,11,2,2,2,2,2,2,2,2,2,2,2,2,8,5,5,5,5,5,5,5,5,5,5

